VISUAL NAME                                       :	#ITEMS
Naengmyeon                                        :	1
Lemon tart                                        :	1
Kway chap                                         :	1
Papaya                                            :	1
Jjamppong                                         :	1
Chawamushi                                        :	1
Mee kuah                                          :	1
Potato wedges                                     :	1
Vegetable u mian                                  :	1
Gingko nuts and beancurd soup                     :	1
Stir fried pig's liver                            :	1
Meatballs                                         :	1
Tau huey                                          :	1
Fried mushroom                                    :	1
Cherries                                          :	1
Ice longan/lychee                                 :	1
Water apple                                       :	1
Steamed crab                                      :	1
Ear biscuit                                       :	1
Wheatgrass drink                                  :	1
Sa kei ma                                         :	1
Soft boiled egg                                   :	1
Achar                                             :	1
Kuih ko swee                                      :	1
Boonthi                                           :	1
Pig trotter in vinegar                            :	1
Chocolate eclair                                  :	1
Stir fried pork                                   :	1
Butterfly cookie                                  :	1
Almond paste                                      :	1
Blackberries                                      :	1
Salted egg pork ribs                              :	1
Cheese tart                                       :	1
Mango sago pomelo                                 :	1
Ma la xiang guo                                   :	1
Cheesecake                                        :	1
Tauhu goreng                                      :	1
Brownies                                          :	1
Butterfly fritter                                 :	1
Vegetable briyani                                 :	1
Tuna puff                                         :	1
Mee siam                                          :	1
Fishball                                          :	1
Beef stomach noodles                              :	1
Assam petai                                       :	1
Grilled fish with pasta                           :	1
Tomato and egg soup                               :	1
Ciku                                              :	1
Kacang pool                                       :	1
Tepung bungkus                                    :	1
Pesto pasta                                       :	1
Bacon                                             :	1
Grilled chicken salad                             :	1
Spinach with trio eggs                            :	1
Macaroon                                          :	1
Kuih dadar                                        :	1
Thunder tea rice                                  :	1
Nasi kunyit                                       :	1
Ang koo kueh                                      :	1
Steamed spare ribs                                :	1
Nasi goreng                                       :	1
Biscuit with filling                              :	1
White rice                                        :	1
Chao sheng mian                                   :	1
Americano                                         :	1
Stir fried salted vegetable with minced beef      :	1
Green chicken curry                               :	1
Otah                                              :	1
Bubur kanji                                       :	1
Dry minced pork and mushroom noodles              :	1
Pizza                                             :	1
Calamari                                          :	1
Spicy tapioca chips                               :	1
Sweet potato                                      :	1
Chicken rendang                                   :	1
Gado gado                                         :	1
Braised pig skin                                  :	1
Pork chop western set                             :	1
Wafer ice cream                                   :	1
Black carrot cake                                 :	1
Grilled fish with potato                          :	1
Black pepper crab                                 :	1
Red bean soup                                     :	1
Cashew nut cookies                                :	1
Strawberry                                        :	1
Fried snow peas with prawn                        :	1
Chocolate croissant                               :	1
Crab stick                                        :	1
Acai bowl                                         :	1
Mango sticky rice                                 :	1
Fried vegetable samosa                            :	1
Rempah udang                                      :	1
Agar-agar                                         :	1
Rock melon                                        :	1
Herbal jelly with sugar syrup                     :	1
Fish head curry                                   :	1
Stir fried asparagus with scallop                 :	1
Kuih rose                                         :	1
Takoyaki                                          :	1
Chrysanthemum tea                                 :	1
Ice limau                                         :	1
Mangosteen                                        :	1
Lotus paste with salted egg pastry                :	1
Unagi don                                         :	1
Digestive biscuit                                 :	1
Nonya chap chye                                   :	1
Stir fried doumiao                                :	1
Stir fried cabbage with tanghoon                  :	1
Duck with salted vegetable soup                   :	1
Durian                                            :	1
Hot chocolate                                     :	1
Soft drink float                                  :	1
Potato chips                                      :	1
Baguette                                          :	1
Mysorepak                                         :	1
Stir fried nai bai                                :	1
Scones                                            :	1
Har gow                                           :	1
Tauhu telur                                       :	1
Chendol                                           :	1
Pumpkin and sweet potato in sweetened coconut milk:	1
Jalebi                                            :	1
Duck porridge                                     :	1
Sausage bun                                       :	1
Butter cake                                       :	1
Tiramisu                                          :	1
Wanton soup                                       :	1
Milo drink                                        :	1
Muffin                                            :	1
Grapefruit                                        :	1
Chilli crab                                       :	1
Ravioli                                           :	1
Lobster roll                                      :	1
Pork floss bun                                    :	1
Shark fin soup                                    :	1
Bubor cha cha                                     :	1
Chives dumpling                                   :	1
Hum sui kok                                       :	1
Edamame                                           :	1
Ice lolly                                         :	1
Stewed taupok                                     :	1
Bread pudding                                     :	1
Mee chang kueh                                    :	1
Cuttlefish porridge                               :	1
Salted egg prawn                                  :	1
Raspberry                                         :	1
Ham and cheese sandwich                           :	1
Sesame seed cookies                               :	1
Shepherd's pie                                    :	1
Ayam penyet with rice                             :	1
Braised duck feet                                 :	1
Roasted chestnut                                  :	1
Mock abalone                                      :	1
Ice soursop                                       :	1
Bibimbap                                          :	1
Mac and cheese                                    :	1
Honey dew with sago                               :	1
Mochi                                             :	1
Horlick dinosaur                                  :	1
Plain waffle                                      :	1
Champagne                                         :	1
Gyoza                                             :	1
Herbal duck soup                                  :	1
Canned tuna salad                                 :	1
Lime                                              :	1
Fish ball tanghoon soup                           :	1
Kiwi                                              :	1
Oyakodon                                          :	1
Dry duck noodles                                  :	1
Preserved vegetable and tofu soup                 :	1
Chickpea curry                                    :	1
Yu sheng                                          :	1
Cooked jellyfish with sesame seed                 :	1
Sesame roll                                       :	1
Sashimi sushi                                     :	1
Popcorn                                           :	1
Dakgalbi with rice                                :	1
Stir fried chye sim                               :	1
Stir fried char siew noodles                      :	1
Mushroom burger                                   :	1
Caesar salad                                      :	1
Rempeyek                                          :	1
Horlicks                                          :	1
Preserved plum                                    :	1
Vadai with kacang hitam                           :	1
Siu mai                                           :	1
Braised pork rib noodles                          :	1
Roasted duck                                      :	1
Waffles with fillings                             :	1
Beef stew soup                                    :	1
Stir fried lady finger                            :	1
Cupcake with icing                                :	1
Century egg porridge                              :	1
Dry chicken feet noodles                          :	1
Vietnamese fresh spring roll                      :	1
Yakitori chicken ball                             :	1
Rambutan                                          :	1
Kaya butter steamed bread                         :	1
Jackfruit                                         :	1
Chicken nugget                                    :	1
Meatball pasta                                    :	1
Seafood pancake                                   :	1
Tempeh                                            :	1
Pandan chiffon cake                               :	1
Kidney mee sua soup                               :	1
Stir fried ee fu noodles                          :	1
Minced pork tofu soup                             :	1
Lentils with rice                                 :	1
Fried pomfret in tomato and coconut sauce         :	1
Castella cake                                     :	1
Idli                                              :	1
Beef soup with buah keluak nuts                   :	1
Seafood paella                                    :	1
Lontong goreng                                    :	1
Stir fried chicken                                :	1
Miso soup                                         :	1
Biscuit with fruits/nuts                          :	1
Dry ban mian                                      :	1
Mapo tofu                                         :	1
Indian style beehoon goreng                       :	1
Pomegranate                                       :	1
Roasted mixed nuts                                :	1
Stir fried celery with beef                       :	1
Pineapple tart                                    :	1
Shredded chicken and mushroom noodles             :	1
Seafood soup                                      :	1
Dried persimmon                                   :	1
Sweet potato soup                                 :	1
Focaccia bread                                    :	1
Cuttlefish finger                                 :	1
Bubur terigu                                      :	1
Grape                                             :	1
Lo han chai                                       :	1
Char siew rice                                    :	1
Tapioca with coconut milk                         :	1
Chinese tea                                       :	1
Fish ball noodles soup                            :	1
Waxed duck                                        :	1
Red bean cake                                     :	1
Ikan bilis                                        :	1
Fried tunghoon                                    :	1
Apple strudel                                     :	1
Pulut hitam                                       :	1
Prawn tempura udon soup                           :	1
Persimmon                                         :	1
Apple crumble                                     :	1
Steamed pork dumpling                             :	1
Lychee                                            :	1
Fried mock duck                                   :	1
Swiss roll                                        :	1
Eggplant curry                                    :	1
Carbonara                                         :	1
Hard boiled egg                                   :	1
Kimchi pancake                                    :	1
Fried prawn dumpling                              :	1
Seaweed chicken                                   :	1
Crayfish hor fun                                  :	1
Lemon                                             :	1
Waffle with ice cream                             :	1
Grilled octopus                                   :	1
Minced lamb curry with potato                     :	1
Roasted suckling pig                              :	1
Fried mee siam                                    :	1
Hong kong egglet                                  :	1
Salted egg yolk croissant                         :	1
Teppanyaki chicken                                :	1
Bandung                                           :	1
Sambal kangkong                                   :	1
Emping                                            :	1
Chicken pongteh                                   :	1
Fish soup                                         :	1
Tutu kueh                                         :	1
Pizza bun                                         :	1
Fried spicy mussels                               :	1
Seafood ee mee                                    :	1
Nasi rawan                                        :	1
Durian pancake                                    :	1
Kim chi                                           :	1
Raw oyster                                        :	1
Mee rebus                                         :	1
Pear                                              :	1
Cheddar cheese                                    :	1
Longan                                            :	1
Braised beef stomach                              :	1
Stir fried broccoli                               :	1
Raisin bread                                      :	1
Roasted full chicken                              :	1
Peng kueh                                         :	1
Butter crab                                       :	1
Chicken rice                                      :	1
Honey dew                                         :	1
Steamed mantou                                    :	1
Deep fried lemon chicken                          :	1
Cheese bun                                        :	1
Sambal clams                                      :	1
Crayfish pasta                                    :	1
Fried egg                                         :	1
Putu mayam                                        :	1
Plain water                                       :	1
Lasagna                                           :	1
Sambal sweet potato leaves                        :	1
Mui fan                                           :	1
Peanut soup                                       :	1
Boiled clams                                      :	1
Jam biscuit                                       :	1
Fish ball noodles dry                             :	1
Coleslaw                                          :	1
Rasmalai                                          :	1
Chocolate cake                                    :	1
Apple pie                                         :	1
Paru goreng                                       :	1
Roti jala                                         :	1
Dao xiao mian                                     :	1
Chirashi don                                      :	1
Mushroom and minced pork noodles soup             :	1
Beef and radish soup                              :	1
Chocolate burfi                                   :	1
Ovaltine drink                                    :	1
Dan dan noodles                                   :	1
Sugar cane juice                                  :	1
Korean spicy rice cake                            :	1
Chicken sambal                                    :	2
Youtiao                                           :	2
Fried pomfret                                     :	2
Risotto                                           :	2
Green tea ice blended drink                       :	2
Cream cracker                                     :	2
Puff dessert                                      :	2
Noodles in blackbean sauce                        :	2
Fried tau kwa                                     :	2
Packaged juice                                    :	2
Daging rempah/daging masak merah                  :	2
Chicken chop                                      :	2
Rojak                                             :	2
Poke bowl                                         :	2
Cucumber                                          :	2
Mango/durian pudding                              :	2
Cereal                                            :	2
Wanton/dumpling noodles soup                      :	2
Creamy pasta                                      :	2
Meat chops with fried rice                        :	2
Barfi/sohn papadi                                 :	2
Chinese kueh                                      :	2
Green bean soup                                   :	2
Baked mooncake                                    :	2
Aglio olio                                        :	2
Egg/tuna mayonnaise sandwich                      :	2
Fried fish                                        :	2
Assam fish/fish masak pedas                       :	2
Peach                                             :	2
Steamed fish                                      :	2
Fried crab products                               :	2
Bread roll                                        :	2
Pho                                               :	2
Cream soup                                        :	2
Banana/walnut cake                                :	2
Lor bak/nonya style simmered pork                 :	2
Stir fried cabbage                                :	2
Bhatura/puri                                      :	2
Claypot ee mee noodles                            :	2
Raisin bun                                        :	2
Stir fried glass noodles                          :	2
Carrot/yam cake                                   :	2
Meat dumpling                                     :	2
Ice cream                                         :	2
Soft pretzel                                      :	2
Fried luncheon meat                               :	2
Flavoured milk                                    :	2
Spicy beef soup with rice                         :	2
Meat chops with spaghetti                         :	2
Thai boat noodles                                 :	2
Fried noodles                                     :	2
Steamed egg                                       :	2
Fried kway teow                                   :	2
Braised duck                                      :	2
Tangyuen                                          :	2
Salmon don                                        :	2
Kheema                                            :	2
Beer                                              :	2
Vegetable tempura                                 :	2
Halwa                                             :	2
Prawn noodles soup                                :	2
Nasi lemak rice                                   :	2
Kung po/szechuan chicken                          :	2
Chocolate                                         :	2
Egg tart                                          :	2
Pig's liver/organ soup                            :	2
Soft drink                                        :	2
Deep fried spare ribs                             :	2
Kuih lapis                                        :	2
Tapioca cake                                      :	2
Ice jelly                                         :	2
Ham chi peng                                      :	2
Hot and spicy soup                                :	2
Soup with mutton                                  :	2
Potato dishes                                     :	2
Lotus root soup with pork ribs                    :	2
Mushroom/with sea cucumber                        :	2
Beehoon soup with mixed ingredients eg seafood    :	2
Tikka                                             :	2
Fried spring roll                                 :	2
Wanton/shrimp dumpling noodles dry                :	2
Fish tofu/cheese tofu                             :	2
Omu rice/nasi pattaya                             :	2
Ebi/tempura don                                   :	2
Milo dinosaur                                     :	2
Stir fried longbeans                              :	2
Beef steak                                        :	2
Stir fried bittergourd                            :	2
Chee cheong fun                                   :	2
Coffee/chocolate ice blended drink without whipped cream:	2
Meat floss                                        :	2
Green tea                                         :	2
Ice kacang                                        :	2
Chicken/mutton briyani                            :	2
Peanut/walnut paste                               :	2
Fried fishcake                                    :	2
Pork porridge                                     :	2
Spicy prawn                                       :	2
Cultured drinks                                   :	2
Deep fried battered prawn                         :	2
Katsu don                                         :	2
Rosti/rosti with sausage                          :	2
Milkshake/smoothie                                :	2
Steamed minced pork with fish/mushroom and preserved veg:	2
Meat ball curry                                   :	2
Steamed/stir fried tofu with minced pork          :	2
Yong tau foo                                      :	2
Herbal tea                                        :	2
Barbecued/korean chicken                          :	2
Iced lemon tea/teh o limau                        :	2
Taiyaki                                           :	2
Ham                                               :	2
Chicken wings                                     :	2
French fries                                      :	2
Sotong/cuttlefish with spice                      :	2
Char siew                                         :	2
Seafood hor fun                                   :	2
Nonya kueh                                        :	3
Pong piah                                         :	3
Spiced cauliflower                                :	3
Beef noodles soup                                 :	3
Dhansak/dhal curry/mixed vegetable kurma          :	3
Instant noodles                                   :	3
Barbecued spring chicken/grilled spiced chicken/ayam panggang:	3
Tomato pasta                                      :	3
Fried beehoon with ingredients                    :	3
Korean bulgogi meat with rice                     :	3
Glutinous rice                                    :	3
Fresh fruit/vegetable juice                       :	3
Soya milk                                         :	3
Vietnamese baguette                               :	3
Thai basil meat with rice                         :	3
Instant coffee                                    :	3
Brown rice                                        :	3
Kopi o                                            :	3
Stir fried beef                                   :	3
Murtabak                                          :	3
Plain milk                                        :	3
Chicken/fish porridge                             :	3
Stewed/braised mutton/dry mutton curry            :	3
Korean ramen with meat                            :	3
Cutlet                                            :	3
Mee/beehoon soto/soto ayam                        :	3
Fried rice                                        :	3
Stewed/braised chicken                            :	3
Ban mian/mee hoon kway                            :	3
Mutton masala/curry with potato/spiced            :	3
Muesli bar                                        :	3
Fish beehoon soup                                 :	4
Kebab/wrap                                        :	4
Sushi roll                                        :	4
Mini fish steamboat                               :	4
Teh o/black tea                                   :	4
Katsu curry rice                                  :	4
Baked rice                                        :	4
Laksa/curry noodles/tom yum noodle soup           :	4
Cafe coffee with milk                             :	4
Non-milk tea without topping                      :	4
Milk tea with topping                             :	4
Rice dumpling                                     :	4
Satay                                             :	4
White bread                                       :	4
Sweet and sour meat                               :	4
Wholemeal bread                                   :	4
Non-milk tea with topping                         :	4
Thosai                                            :	4
Cheng tng/white fungus and longan soup/sea coconut:	4
Fish burger                                       :	4
Yoghurt                                           :	4
Beef burger                                       :	5
Sausage/taiwanese sausage                         :	5
Beef/mutton with sauce                            :	5
Toast                                             :	5
Japanese ramen                                    :	6
Curry puff/peanut puff                            :	6
Meat roll                                         :	6
Omelette                                          :	6
Chicken/cheese burger                             :	6
Milk tea without topping                          :	6
Local coffee with milk                            :	6
Tea with milk                                     :	6
Chicken curry                                     :	7
Jap bento set                                     :	8
Fritter                                           :	8
Pau                                               :	8
Prata/chapati/naan                                :	8
Economic rice/nasi padang                         :	8
Bun                                               :	10
Deep fried chicken                                :	17
Grain salad                                       :	24
Vegetable salad                                   :	24
